Team Names,Series Number,Filename,Name,Description,Gender,Attributes,UUID,SHA-256
,11,gbeminyi-the-monk,gbeminyi the monk,He lives in a monastery off the coast. No one has heard him speak in years.,Male,hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,66c26dac68d0cc8002e7515447556941b69e5b75efd65f960f75cba8d8de439f
,12,henry-the-sportsman,henry the sportsman,He's played every sport known to man. Even cricket.,Male,hair: bald; eyes: yellow; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: agility; weakness: none,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,6c0cd8c89ca62cc4d9a4d2b2df0674e0755e4a3c59adabb4e5642bbc21ad22c7
,13,mayowa-the-smallie,mayowa the smallie,Mayowa is so small but everyone loves him still.,Male,hair: bald; eyes: blue; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: none; weakness: none,dfbb4163-df24-4d54-b74c-6218a68df8bd,207a2c8005953ac3831a13a33e062ac4b44dd87faeefb01d039fe11f1a708e87
,14,muyiwa-the-stylish,muyiwa the stylish,Muyiwa has a motto which is never to be caught unfresh.,Male,hair: bald; eyes: ash; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: creativity; weakness: none,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,abd808fc776936fd92388e83d1aee8113c74079796f722905c84e6c9a53508ea
,15,nina-paper-chaser,nina paper chaser,Nina loves money. It's all she dreams of. ,Female,hair: brown double bun; eyes: none; teeth: none; clothing: animal print; accessories: glasses; expression: none; strength: hustler; weakness: none,59524227-dc52-407c-8cca-e9e8c5fb3018,2270bd75b58207e1ceae8c15c1d049508fea6a6f74d715f47a7a17426cf53d6d
,16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,Male,hair: bald; eyes: black; teeth: none; clothing: yellow and purple agbada; accessories: mask; expression: none strength: none; weakness: none,808f7007-6552-4efa-bd13-4b7c337b102b,a9f00d5da4029e868013bcb394a059565135a1e8e7353ed5c3dbb5748e481cd4
,17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,Male,hair: bald; eyes: blue; teeth: none; clothing: orange; accessories: mask; expression: none; strength: intelligence; weakness: none,ba3edda7-8940-4ca4-97ba-826398d5909f,940beef7e7ea06d3b5cbd80ad71d24ea232272322559c48fe18f57cb0df65468
,18,tiwa-london,tiwa london,If she says she's in London and you see her; you're in London too.,Female,hair: braids; eyes: none; teeth: none; clothing: black top; accessories: glasses; expression: none; strength: none; weakness: untruthfulness;,78da7aeb-8352-4e25-89ac-dc48b5984089,bcdb0760271238b6d23e8a2dc364e966466939431d5482175525e3516f98959a
,19,tunde-yoruba-demon,tunde yoruba demon,Tunde derives joy in breaking hearts. It's a lifestyle.,Male,hair: bald; eyes: white; teeth: none; clothing: purple and yellow agbada; accessories: mask; expression: none; strength: none; weakness: promiscuity,53b46bd7-a537-402b-b249-0b4074a8faae,0fc0d84ba9bda40800f04fc7f0d961d7f2192473444fd3fb6857b2698e038210
,20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,Male,hair: bald; eyes: black; teeth: none; clothing: green and purple agbada; accessories: mask; expression: none; strength:none; weakness:slow to understand things,4adb6781-1614-424e-8f77-fe59ffca2209,b9b60080f0ddd7ae76ab664d07d8c07a07063620d9bebc32fcf0bbf4727a00e8
TEAM CLUTCH,21,abdul-the-vibe,abdul the vibe,Abdul the life of the party and can never be caught un-fresh.,Male,hair: none; eyes: black; teeth: none; clothing: purple and yellow kaftan; accessories: cap; expression: happy; strength: strong; weakness: no limitation,770f817a-9d9a-4772-9a91-e66dd9d03470,4feeddbea47a9e8ab398add09cab9511f01c292e8c2374d375548aced8664ce8
,22,emeka-the -clown,emeka the clown,Emeka the funny man; always making silly joke.,Male,hair: none; eyes: black; teeth: none; clothing: yellow and black ankara; accessories: cap; expression: straight face; strength: funny; weakness: little physique,78810fa6-a7ef-4d83-bf57-caf49db4ee69,43ec7163a2542e058bd4fe38f997e2df464d68614e94cd3077984109b79fceac
,23,salam-the-odogwu,salam the odogwu,Salam is a big time textile marketer always sourcing for quality materials.,Male,hair: none; eyes: brown; teeth: none; clothing: wine and yellow; accessories: yayada cap; expression: happy; strength: influence; weakness: impatience,f2957ded-022c-4b07-92c6-b345d4816a67,48a54957155c921a4e46c6e88db17562483f38c2275fd2f6690f63aa4f98678d
,24,charles-the-exporter,charles the exporter,Charles a business man an importer and exporter never to be caught idle.,Male,hair: none; eyes: grey; teeth: none; clothing: orange and blue; accessories: okpu ozo cap; expression: happy; strength: influential; weakness: incessant,09395e76-19ed-4852-8748-795ee7496a8e,96b4015beb5a9c6bd407410ff6e463efa98581b2a431a27e203d5f85414aeeff
,25,wole-the-pimp,wole the pimp,Wole knows people and his way around his city.,Male,hair: none; eyes: black; teeth: two white teeth with diastema; clothing :yellow dashiki; accessories: yori yori; expression: happy; strength: strong; weakness: promiscuous,4d94d4f7-9b69-4e43-9db1-1fe83df92857,f9c25be506512de612d64bdf57283add9cce933a95c278a83c418f1391d091b3
,26,saro-the-baller,saro the baller,Saro is a baller and he is always ready to turn-up,Male,hair: orange afro; eyes: blue; teeth: two white teeth with diastema; clothing: black and yellow kente; accessories: none; expression: angry; strength: strong; weakness: insatiable,d35a7514-8996-42fb-a5f2-5a603ec679c5,96cd9bbe1bfa6cf2c31ccaecea0748c050ba1d9e4cee0983a3d972dfa7cd3bc6
,27,ade-omo-yoruba,ade omo yoruba,Ade is an influential man and he is revered in his town.,Male,hair: none; eyes: blue; teeth: complete white teeth and a gold tooth; clothing: black and yellow kente; accessories: wine cap; expression:happy; strength: hardworking; weakness: procrastination,92984fa0-310b-4377-8a10-15965d044383,83d243e978a130649ea87b97ee9520a866fac1ec2a829aed67f7524af824caa1
,28,shola-cool-kid,shola cool kid,Shola prefers to be alone because he hates stress.,Male,hair: none; eyes: none; teeth: none clothing: yellow t-shirt and blue dongaris; accessories: red facecap; expression: playful; strength: fun; weakness: playful,3ac5c186-bc14-4eb6-8567-cc818465a64f,1703188159abb7032764b4175630ce67beea34adf33d1d8ccc03942fb3020002
,29,charlie-the-smoker,charlie the smoker,Charlie uses smoking as a coping mechanism.,Male,hair: none; eyes: black; teeth: none; clothing: black shirt with lion prints; accessories: blue cap; expression: happy; strength: nice; weakness: gullible,71a0aa22-d111-43b7-8484-43d87310bc42,cb1580e8f9e9f79c9b7d2b44110d3b549d7804de9f428c7913da8fccbca6a205
,30,femi-the-badguy,femi the badguy,Femi is one of the fliest guys in Lagos.,Male,hair: orange; eyes: black; teeth: none; clothing: white t-shirt and blue dongaris; accessories: smoking pipe; expression: unbothered; strength: fearless; weakness: intolerance,e493e3fb-a8a0-455a-854f-0f6474bbc69f,1502516f1ce0413fad11d392de121d9560c00c1d1ad387f1dc0f9210438e4bf3
,31,sinzu-money,sinzu money,Sinzu loves spending money on flashy things.,Male,hair: none; eyes: blue; teeth: white complete teeth and a brown tooth; clothing: purple and yellow kaftan; accessories: green-stripped fila cap; expression: strength; strength: generous; weakness: aggressive ,942f8347-9932-4331-bd15-d0f3a048b54f,54dd3298f0bb74431ea2b9cdce59258175b2e1d7ea676301b1a751a66771fb25
,32,obinna-the-palmwine tapper,obinna the palmwine tapper,Obinna taps palmwine for a living.,Male,hair: none; eyes: black; teeth: none; clothing: yellow black and a touch of pink ankara; accessories: cap; expression: happy; strength: contentment; weakness: naive,0f1af056-2548-4407-bed4-abc11deae05d,5fa243c2787eaca12d065b7bb3ca95d81b2294b640546226a71530f329d9bdc3
,33,aminu-maikudi,aminu maikudi,Aminu is a wealthy man from a family with generational wealth. ,Male,hair: none; eyes: black; teeth: none; clothing: maroon and yellow agbada; accessories: cap; expression: unbothered; strength: confidence; weakness: selfishness,0129e7a5-e3d0-4675-92d0-1a1e55d11612,879063103c027535f8b2e5c47aca94eb99cafd09d8b48240524874bc864a9884
,34,sabinus-the-town crier,sabinus the town crier,Sabinus delivers messages to his town people.,Male,hair: none; eyes: black; teeth: two white teeth with diastema; clothing: orange ankara with touches of blue; accessories: cap; expression: happy; strength: dexterity; weakness: impatience,01d4ce96-818e-44b1-8813-68a7d34b35ba,3ddd362134be32b50d088e9ad5e126f7f027e211aa7eb1a2bc7dd86078a44f49
,35,adisa-ibadan,adisa ibadan,Adisa is an elegant man and he is adored by his people.,Male,hair: none; eyes: black; teeth: none; clothing: kente; accessories:abeti-aja cap; expression: mischievous; strength: independent; weakness: bossy,3a925f27-35f6-4dbf-9960-c6527fae5f3e,6b415e62350ac067e722fd5928708a2370808ae955e6921eaac9b0c503f486fa
,36,linda-the-navigator,linda the navigator,Linda knows how to make a way for herself and the people around her.,Female,hair: blonde; eyes: none; teeth: none; clothing:multicolored; accessories: glasses; expression: confused; strength: creative; weakness: insecure,71f335a6-5a4f-4410-9cea-179336f0e498,13b3237cb1f71778ad88d48678ce9f3efa668833039f756cd117d0a4956a5d00
,37,kemi-the-iron lady,kemi the iron lady,Kemi the strongest woman known to the town of Igbede people.,Female,hair: ginger; eyes: none; teeth: none; clothing: ankara; accessories:glasses and a pipe; expression: cool; strength: disciplined; weakness: perfectionist,35b11a31-5b92-49f4-8fb1-30f255d22054,be1914a1d7ab6eb15e943036672c2eed84bb2ab337081474c925d11b08155579
,38,mercy-the-sassy lady,mercy the sassy lady,Mercy is a confident woman and never hesistate to show it.,Female,hair: brown; eyes: none; teeth:none; clothing: ankara; accessories: glasses; expression: sassy; strenght: creative; weakness: sensitive,7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,6dbebf8bf0a6773c2ae7b031c20425abe03e66016a3e55a34aa8e8ea84e81f4d
,39,sandra-money,sandra money,Sandra likes getting and spending money.,Female,hair: brown; eyes: none; teeth:none; clothing:yellow and black; accessories: glasses; expression: confused; strength: brave; weakness: overthinker,1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,c43903828fa29aef59fa27336aae6164332ca823e00a601b2547296990e4e6db
,40,bimpe-the-fashionista,bimpe the fashionista,Bimpe loves wearing trendy clothes and looking gorgeous.,Female,hair: blonde; eyes: none; teeth:gap teeth; clothing: black cold shoulder shirt; accessories: glasses; expression: shocked; strength: intelligent; weakness: procrastination,92b548b7-998b-46b6-8198-80d407209483,ac3ff62927394cce3c1638ec45e8543ada931042125afe3d5d3fb644771539ac
TEAM ENGINE,41,kim-rich-aunty,kim rich aunty,She loves spoiling her nieces and nephew.,Female,hair: pink; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food,3344a73c-f15e-4afd-a1b2-3199e27eb08f,e8ccd52ea41ab7bef7ddcf2445f16ef4361228ad75dca1f6300668cc0f609489
,42,barbra-stark,barbra stark,She loves fine dining and spends time with family.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food,4f31fd99-4918-42a9-a112-fa60ef36d5c6,c02999940425c268c1080448b6ffadeb076e8df60c3ae7f0fbb3e20e604db789
,43,jean-art-dolger,jean art dolger,Loves collecting art for charity.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: creative; weakness: food,5e1105d9-e485-462d-a5bf-1eb931976b13,32b1d2548bcc2b218c54b3a72561957192f579200d7f6710263c17a44d6206fa
,44,flora-burger- eater,flora burger eater,She loves eating burgers.,Female,hair: blue; eyes: brown; teeth: gap; clothing: stripes; accessories: none; expression: frowning; strength: prayerful; weakness: food,054dffd1-cdff-417b-b6c2-a679dabd087b,c9c56beb5c909519911bb2409a2b8cfbc786fdd6819375676dd868be4b2e4b30
,45,jessie-lord-rings,jessie lord rings,She loves her  (precious) jewelry.,Female,hair: blue; eyes: brown; teeth: none; clothing: satin; accessories: none; expression: smiling; strength: kind; weakness: shy,caacabe1-0abc-43af-92e2-2231248bff93,174c8595409d8285103e67f77cc0360d9a825295307629ec3c03c959d840df83
,46,pinky-monky-ponk,pinky monky ponk,She love to dance the honky tonk.,Female,hair: maroon; eyes: blue; teeth: none; clothing: linen; accessories: none; expression: smiling; strength: brave; weakness: chips,bd6a4b38-543e-40fa-9153-f7e1a947ebb1,1101eac9626f55a9c7c521799beabb1af68bd6ff34465ea098cd095851fc1831
,47,wanjiru-hippie-glitter,wanjiru hippie glitter,A hippie that loves her glitters.,Female,hair: blue; eyes: brown; teeth: none; clothing: wool; accessories: none; expression: smiling; strength: none; weakness: babies,683f0d27-3cb4-4948-b1b5-09f10bee575a,4a7e7e9aa18f56701db108c0d4ce9d91dd44ec5f56a09c2ca9a0676aedb90f43
,48,njoki-binary-coder,njoki binary coder,She codes with the best language and tops the set.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: none; weakness: none,9b59bdb4-0c6c-4107-9d72-6d38d308edb4,d9f1f1ad98bb248c2091ede136dc7d89d3a1f09a69922c08a28cf914300ac7a9
,49,wangu-calaba-hustler,wangu calaba hustler,She is a passionate hustler you should be careful with her.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: flying,67f7da93-3925-4def-b660-58f558c14a19,e90fd11e4ff9d02c3550b03aef77b11ed81276ecc4c26d78842579a7ed574a87
,50,lulu-dey-kpako,lulu dey kpako,She's is as enthusiastic as she is beautiful.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: loving; weakness: makeup,23b6c38f-ab84-4565-bfe9-d9eb019c9f29,be87f9694cd226b618314bcbe1f0e7c66c38559823e2019bad8b664a5ed14b93
,51,kiki-cala-flier,kiki cala flier,She flies first class and gets the best deals.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: kittens,d24aefff-c9fc-4ea9-a7cf-1b741076c822,8ad8d3d127fd5207888f03ee9c53078669b94741c88013ff64f133b650d0c090
,52,purity-nft -investor,purity nft investor,She is an angel investor looking for the next big thing.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: clothes,ee86ef77-4793-411a-88d3-ea54d84f6b24,0844b93fa231294f9021f18c07ea10b64a3751fbb6b7a6bb0f615805f47ad391
,53,june-binary-monk,june binary monk,She has a twin from Tibet and they always play together .,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: money,102c4cdb-f812-44fd-bf47-5065284c6075,78a030a930bce5e56796e32910e92a118f47c8a91e084dccf19d962d306c9052
,54,aisha-flying-damsel,aisha flying damsel,She is always a damsel in distress and loves to fly.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: food,c4071af3-b49e-4ad6-898b-7828f90465fb,497c490b54a59c01e2c0e6b6c85c726419c49a0db6be2bb3af6c29077ac1db55
,55,bobo-crypto-lovely,bobo crypto lovely,She is a crypto guru you can trust all through.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: water,427ea0f5-30a3-4d70-a5bd-a6106409b83c,cabb3acd37c308a066c306a03e3fd88d0165de3b62e0a864fad726a5912cb302
,56,nell-light -embrace,nell light embrace,She is an empathy ready with a kind word or hug.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: love,9dfe30b4-c71a-471c-8091-f5c4a238eed8,eab1e25528735ee370a5b4e50468474f43b0f2ac09bfeb284cc8dd3a29a79ec1
,57,rachel-mood-silent,rachel mood silent,Introvert  to the core a mysterious lady.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: walls,11450acd-f0d7-406f-bc18-bdb680404845,0b4caabbb10dcca9809918d8bb7443f077b75ec4bac33925be7fde261943db1c
,58,nana-reflector-agent,nana reflector agent,She loves her chrome fashion style.,Female,hair: pink; eyes: blue; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength: brave; weakness: shy,63bda633-bfca-4b28-823f-7772936b4103,f7d7f2ac1f2cb40d44e73db8a4d26b40b5eb3797ddfc6d275c56d6093cbbfa43
,59,bree-busy-gossip,bree busy gossip,Never whisper your secrets to her except you want the world to know.,Female,hair: blue; eyes:white; teeth: none; clothing: glitter; accessories:none; expression: frowm; strength:goodlistener; weakness:height,4f5898d9-fc99-4053-a56c-b2ec1ef41347,56a0a9bfd4dcc9772fc3722facdd5ae41cce3da2534dc6c7aa8c8b04fd18d5bb
,60,jude-shadow-fighter,jude shadow fighter,A ninja warrior; the last samurai standing.,Female,hair: white; eyes:brown; teeth: none; clothing: ankara; accessories:chain; expression: smiling; strength:brave; weakness:water,a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,2e938ab84aa56d28b87996a85fb68da79db3da51d7b2fa919f2741cf052f8f28
TEAM GRIT,61,toy-soldier,toy soldier,A man stronger than an army.,Male,hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: happy; strength: powerful; weakness: sentimental,fc8ea3ac-59d1-11ed-9b6a-0242ac120002,d9daf6c8f4cbb8b319e3486174956f0033b84ad9852ec0877d65ca7ea984bf13
,62,pipey-rivers,pipey rivers,A man who loves the water so much and fixes it's path.,Male,hair:bald; eyes: opened; teeth:none; clothing: overall; accessories: nose mask; strength: calculative; weakness: public speaking,58f69cae-59d1-11ed-9b6a-0242ac120002,64c02cb7a569f6e5a52cc6534962ae6f861b714d32388a05f8b1ab5e63696e89
,63,phiri-of-zambia,phiri of zambia,An african woman with strength and beauty.,Female,hair: purple buns; eyes:nose; teeth: none; clothing: adire; accessories: sunglasses; expression: jiggy; strength: free spirit; weakness: blind ,24b537fa-59d3-11ed-9b6a-0242ac120002,b3f3d66c973832655c8f3586cb3c40b15aa6ae212351fce721f481a1ffd81aa1
,64,patrick-of-bikinibottom,patrick of bikinibottom,A white man who loves the african culture and associates with their dressing.,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: confused; strength: adaptation; weakness: fluency,064c7b84-59d3-11ed-9b6a-0242ac120002,b6afc468d26a78971e8b709660aaf7b719911c172358a8bfecff485326d9514e
,65,nobuhle-of-zulu,nobuhle of zulu,A woman; well endowed with beauty.,Female,hair: brown bun; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses; expression: astonished; strength: cool headed; weakness: pressure,1ee5b1ce-59d3-11ed-9b6a-0242ac120002,043c6f95d9e5a5a1f4369af04a4aaa7729ca8fd36655ceb95748567b60cbf1c2
,66,nkosazana-of-xhosa,nkosazana of xhosa,An african princess; always proud of her culture.,Female,hair: ginger afro; eyes:none; teeth: gap teeth; clothing:umbaco; accessories: sunglasses; expression: fufilled; strength: confidence; weakness: endurance,2f1a1724-59d3-11ed-9b6a-0242ac120002,0cbf622282c20c676e2804fd769e16e3f08b6a0453d356ccbe92fe8bab85ad0e
,67,mandla-of-zulu,mandla of zulu,A simple and introverted guy who keeps to himself.,Male,hair: bald; eyes: opened; teeth: none; clothing: eshowe; accessories: nose mask; expression: irritated; strength: strong willed; weakness: relationship,d04553b2-59d7-11ed-9b6a-0242ac120002,fa0176b9b3b1fb3ab81bf72725efded95d0055da5ca4d8f1714b7f7289227d83
,68,john-doe,john doe,A principled guy who is conscious of his health and ensures protection from infection.,Male,hair: bald; eyes: opened; teeth: none; clothing: ankara; accessories: nose mask; expression: cold; strength: cleaniness; weakness: perfectionist,5d19795e-59d2-11ed-9b6a-0242ac120002,f58c8344e04718e3ab4a9cc65c65859e3c06cbc0a4a766ed7ef9f2c8f8b28e25
,69,ghost-of-power,ghost of power,A woman; stronger than ten men combined.,Female,hair: black tied with scalf; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses and pipe; espression: ruthless; strength: badass; weakness: cancer,29c764ca-59d3-11ed-9b6a-0242ac120002,f65499339ff495c3586e3a5646116311658538095003c9096d8895fb8e4df5f1
,70,freida,freida,A man who is always peaceful.,Male,hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: calm; strength: peaceful; weakness: anger,ee671c4a-59d2-11ed-9b6a-0242ac120002,226d82518f77e7e6dea91a67f24e1bdf3bd8fe9a2c2e3aca6906476b10c2b411
,71,flamboyant-tree,flamboyant tree,A beautiful african woman; billionaire in the making.,Female,hair: one bun dark brown; eyes: none; teeth: none; clothing: kente; accessories: sunglasses; expression: happy; strength: beauty; weakness: lover girl,380e4990-59d3-11ed-9b6a-0242ac120002,706cbac969c8b93cd08e95d005f24acb79a85111406add19974ba5f5b26f83ef
,72,david-of-accra,david of accra,A combatant who fights and defends his people,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: angry; strength: super powerful; weakness: sleeping,1c1ef1b4-59d1-11ed-9b6a-0242ac120002,04fb4ea9176feec727cc58d61aef6a98ab24f20783965320e5a03e9f8e0c4fb0
,73,cally-lily,cally lily,A man who is a breathe of fresh air.,Male,hair: male; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: confused; strength: calm; weakness: sun,82bba87c-59d1-11ed-9b6a-0242ac120002,248b0bbf9773a6587aeffe393446687dd5669ca3f2e129d4ace24047a9d03128
,74,bubune-of-accra,bubune of accra,A man with honor; always conscious of his health.,Male,hair: bald; eyes: closed; teeth: none; clothing: kente; accessories: nose mask; expression: happy;  strength: clean; weakness: foodie,faa4b530-59d2-11ed-9b6a-0242ac120002,dac8bd3323fda9013513389a4dc3a1e5a40bdde066536c02d0dd31fbc609b99c
,75,bediako-of-accra,bediako of accra,A strong man; always ready to fight for what is right.,Male,hair: bald; eyes: opened; teeth: none; clothing: balck with kente; accessories: nose mask; expression: suspicious;  strength: activist; weakness: irrational,fb6e8222-59d0-11ed-9b6a-0242ac120002,698986083f0e0b1a90287bdfcb7842898f11ff8878cee4b07412acb5d894c4f7
,76,avatar-aang,avatar aang,A man who is ready to save the world.,Male,hair: bald; eyes: opened; teeth: none; clothing: kaftan; accessories: nose mask; expression: soothing; strength: mind games; weakness: insomia,169f93a0-59d2-11ed-9b6a-0242ac120002,3b7be56a1fbb1e4b40536db8bd555f2fb3a7ac5fc6b3ff3ec13e70009cccf062
,77,argus-greek,argus greek,A man who you will always find on the look out.,Male,hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: suspicious; strength: strong;  weakness: lateness,e7f26b26-59d2-11ed-9b6a-0242ac120002,1e755490dd61593824589f0f87704b0b34b483f8ac69efe8c666879ec2da89d3
,78,amahle-of-zulu,amahle of zulu,A traditional man; feeling fulfilled.,Male,hair: bald; eyes: closed; teeth: none; clothing: ankara print; accessories: nose mask; expression: excited; strength: conversationist; weakness: traditionalist,169f93a0-59d2-11ed-9b6a-0242ac120002,d66f1d505219e985d5b307c5023cdfb09bcf6c409f6db98dd3007b974ca036f1
,79,agnar-ole,agnar ole,A man who feels like an outcast and always has a battle with his mind.,Male,hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: furious; strength: strong willed; weakness: crying,f3f11fd0-59d2-11ed-9b6a-0242ac120002,88043297224e90c9623ab812b76505e235c2bd977a248af13a3a3870c9f68caa
,80,adom-kulu,adom kulu,A ghanaian model; proud of his culture.,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: irritated;  strength: height;  weakness: pride,00f6589e-59d3-11ed-9b6a-0242ac120002,219e9be6ad6fe2be5b6c0fd21cca9bae25c15854ed03dc160cb5de0bea606e4b
TEAM PRYBAR,81,segun-baller,segun baller,A man who loves to have fun.,Male,hair: black; eyes: black; teeth: none; clothing: kente; accessories: glasses; expression: cool; strength: jovial; weakness: nonchalant,58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1,370a7ee01fafa6eed1ccb0c1be6471238c9d712b156d15e8d0256fe392a384e9
,82,bolanle-pepper-dem,bolanle pepper dem,A lady that loves to show off.,Male,hair: bald; eyes: back; teeth: none; clothing: kente; accessories: glasses; expression: proud; strength: strong; weakness: big spender,46966104-775b-4443-90bb-b35afd121653,9b6fd5315c56dd4b340ab2ce377d783f39b1b82efc24061fa48c7d0977e84712
